"target","2015","act","also","america","american","americans","can","care","country","ensure","every","families","federal","first","get","health","help","hillary","including","just","like","make","many","national","need","new","people","plan","president","state","states","support","time","will","work","years","back","bring","business","companies","donald","dont","end","even","government","great","immigration","interests","job","jobs","keep","leave","less","long","may","much","needs","now","number","one","order","pay","place","politicians","put","right","second","since","stop","tax","trade","trump","wall","want","washington","well","working","world","year"
"1. Hilary",0,5,5,9,1,5,11,7,11,0,5,4,2,1,7,4,3,0,0,13,4,11,3,0,2,3,21,2,22,4,1,1,7,24,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. Hilary",0,0,7,8,2,0,11,0,8,0,20,2,2,7,17,2,9,0,1,15,10,15,7,3,13,9,10,2,5,6,1,11,7,18,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. Hilary",1,5,4,1,0,1,0,14,4,9,1,8,0,2,4,10,3,19,1,0,1,3,2,5,5,6,1,9,3,0,0,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. Hilary",1,3,2,0,2,1,0,0,1,0,2,0,0,0,0,0,0,2,1,1,1,1,0,2,2,2,1,0,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. Hilary",1,0,1,0,0,0,3,0,0,0,0,1,0,0,1,1,0,8,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. Hilary",1,3,0,2,5,5,0,6,0,6,2,17,1,6,1,2,0,10,1,1,2,2,1,1,3,4,0,6,4,0,3,3,2,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. Hilary",1,4,5,4,3,1,2,11,1,1,2,5,3,3,0,6,2,15,0,3,2,4,3,1,3,3,0,0,1,3,2,1,2,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. Hilary",1,1,1,1,1,4,1,2,0,0,0,4,2,0,5,0,1,10,0,0,0,0,0,0,2,1,0,1,0,1,0,1,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2. Trump",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2. Trump",0,0,5,7,4,10,2,0,0,0,1,0,0,1,3,0,3,0,0,1,0,3,4,0,0,9,1,20,0,0,0,0,1,25,2,0,0,1,11,5,2,1,3,0,1,2,0,5,3,5,6,1,2,1,0,1,2,2,3,6,1,6,1,1,1,1,0,3,0,59,0,13,0,1,1,3,2,6,0
"2. Trump",0,0,1,6,1,0,22,0,27,0,5,0,0,1,25,0,2,0,0,16,21,20,6,0,27,4,54,3,10,1,6,0,12,32,7,0,20,12,1,1,5,48,3,15,2,38,2,3,9,14,2,2,1,1,1,11,5,32,11,23,1,5,7,6,4,19,2,2,6,4,8,55,5,20,3,9,2,16,2
"2. Trump",0,0,1,2,1,0,4,0,11,0,1,0,0,1,5,0,0,0,0,4,0,8,0,0,10,2,14,2,6,0,2,0,2,10,3,0,8,7,1,1,0,8,1,0,1,10,1,2,3,10,0,1,1,1,0,7,3,4,0,1,1,0,0,2,0,2,1,1,3,0,3,14,1,4,0,0,0,1,1
"2. Trump",0,0,2,12,17,1,1,0,1,0,2,0,0,0,1,0,0,0,0,0,2,3,1,0,2,1,0,7,6,0,1,0,0,27,0,0,2,3,2,7,3,0,2,2,5,2,1,3,1,8,2,0,0,0,2,0,0,1,0,1,1,1,0,3,0,0,1,1,5,6,17,10,3,1,2,1,0,2,1
"2. Trump",0,0,2,5,4,3,7,0,5,0,3,0,0,1,2,0,2,0,0,0,2,5,1,0,4,0,6,1,5,6,3,0,0,19,3,0,1,3,0,2,1,1,0,0,2,3,3,1,1,1,0,0,1,2,1,0,0,0,1,2,0,1,1,0,0,1,1,2,1,3,1,3,1,1,0,0,1,0,0
"2. Trump",0,0,8,18,11,6,8,0,16,0,4,0,0,13,1,0,0,0,0,7,4,7,6,0,3,7,18,1,11,11,7,0,3,27,3,0,7,5,3,2,0,3,3,7,7,11,6,4,1,15,3,1,2,1,3,1,2,4,2,10,0,2,2,4,6,1,0,2,0,1,7,1,2,10,2,0,2,6,0
"2. Trump",0,0,4,4,8,8,2,0,5,0,3,0,0,3,1,0,6,0,0,0,2,3,3,0,3,3,4,2,2,1,13,0,1,16,1,0,3,0,0,2,1,0,2,1,3,2,20,0,0,7,0,2,1,2,0,1,3,0,2,1,1,4,2,2,1,0,0,3,1,3,2,0,4,0,1,2,3,2,5
"2. Trump",0,0,4,4,8,8,2,0,5,0,3,0,0,3,2,0,6,0,0,0,2,3,3,0,3,3,4,2,3,1,13,0,1,16,1,0,3,0,0,2,2,0,2,1,3,2,21,0,0,7,0,2,1,2,1,1,3,0,2,1,1,5,2,2,1,0,1,3,2,4,3,1,5,0,1,2,3,2,5
"2. Trump",0,0,7,19,29,3,8,0,11,0,6,0,0,5,2,0,0,0,0,5,2,8,3,0,3,2,11,0,4,5,3,0,6,37,1,0,6,3,1,1,2,1,2,6,2,6,1,2,4,17,2,0,0,1,1,2,1,4,1,8,1,0,2,4,6,3,1,4,1,3,33,6,2,5,1,1,0,7,2
"2. Trump",0,0,3,5,1,1,9,0,17,0,1,0,0,8,14,0,2,0,0,8,14,12,14,0,6,8,20,1,6,1,21,0,9,24,1,0,3,0,1,1,6,29,2,6,1,4,0,4,3,2,5,3,3,2,2,13,0,25,1,13,2,3,1,0,4,22,2,5,0,0,12,84,1,14,0,22,2,11,1
"2. Trump",0,0,4,1,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,1,2,1,0,0,0,1,0,1,1,10,0,1,7,0,0,1,0,1,1,1,0,0,2,1,1,3,0,0,1,1,0,0,0,2,1,1,0,0,2,1,5,0,0,0,1,1,0,1,1,5,3,5,0,0,1,1,0,5
"2. Trump",0,0,2,1,1,2,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,7,1,0,2,31,2,0,0,14,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,14,0,0,1,1,2,0,1
